epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,715.624,2.07767,4.74565,2.19072,0.30042,0.16966,0.13952,0.0462,2.21439,3.05335,2.52014,0.00999625,0.00333208,0.00999625,0.00333208,0.00999625,0.00333208,0.00999625,0.00333208
2,1507.76,2.09103,3.16647,2.20198,0.01368,0.80318,0.08427,0.02582,2.24049,3.18549,2.47435,0.0197983,0.00659943,0.0197983,0.00659943,0.0197983,0.00659943,0.0197983,0.00659943
3,2317.72,2.13866,3.18789,2.23368,0.10053,0.29677,0.07853,0.02323,2.55276,3.34357,2.71151,0.0294023,0.00980078,0.0294023,0.00980078,0.0294023,0.00980078,0.0294023,0.00980078
4,3039.7,2.12931,3.1693,2.24354,0.11536,0.46335,0.14747,0.05072,2.13492,2.97144,2.43676,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3690.31,2.07308,2.98106,2.18661,0.27398,0.2588,0.18878,0.06949,2.09521,2.78413,2.31225,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4343.47,2.01132,2.92541,2.12994,0.17791,0.43619,0.21313,0.07455,2.03135,2.71441,2.25607,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4993.49,1.96574,2.85316,2.09485,0.29656,0.21015,0.19651,0.06592,2.11108,2.74707,2.28576,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5643.92,1.95165,2.78871,2.08718,0.29748,0.26807,0.2065,0.07812,2.04423,2.73355,2.25521,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6294.37,1.9021,2.74517,2.05186,0.29404,0.30395,0.24123,0.09807,1.92347,2.60859,2.22375,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6943.59,1.90074,2.71093,2.04705,0.32805,0.35777,0.27133,0.10307,1.93259,2.54622,2.24146,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7594.06,1.88389,2.71148,2.03337,0.33094,0.31112,0.25237,0.10376,1.92362,2.52337,2.22589,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8244.44,1.85789,2.67169,2.00188,0.36683,0.33228,0.27101,0.1037,1.97724,2.54678,2.21933,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,8894.11,1.86551,2.68567,2.01049,0.35985,0.3371,0.27503,0.1089,1.93701,2.50843,2.21011,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,9544.93,1.85606,2.62393,1.99748,0.37495,0.33368,0.29265,0.1115,1.93622,2.60546,2.20209,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,10193.7,1.85387,2.61105,1.99307,0.35771,0.3347,0.29576,0.11784,1.90419,2.54398,2.18365,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,10844.1,1.83591,2.59494,1.98634,0.37592,0.35315,0.29823,0.12143,1.92205,2.42992,2.16304,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,11494.6,1.81267,2.6169,1.97332,0.38653,0.35623,0.30762,0.12479,1.87676,2.43458,2.1513,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,12145.5,1.83207,2.5916,1.98123,0.40447,0.37597,0.33114,0.12956,1.88008,2.50273,2.18327,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,12796,1.82978,2.55677,1.97341,0.37684,0.37417,0.32484,0.12912,1.87713,2.41237,2.13773,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,13445.2,1.80456,2.54408,1.94888,0.38868,0.35879,0.31673,0.12909,1.87115,2.4212,2.15461,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,14096.2,1.8073,2.5327,1.94632,0.37484,0.38186,0.31956,0.1309,1.86636,2.41662,2.13687,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,14746.4,1.79444,2.56165,1.94064,0.36847,0.36275,0.30975,0.13024,1.8603,2.42584,2.14309,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,15396.8,1.80104,2.53937,1.9272,0.37658,0.38339,0.32663,0.13625,1.85055,2.41843,2.12939,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,16046.9,1.79714,2.50992,1.93873,0.35973,0.37468,0.3047,0.12707,1.85201,2.44972,2.13235,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,16956,1.78922,2.46162,1.92969,0.37674,0.38356,0.32421,0.13162,1.84763,2.42445,2.12807,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,17995.1,1.79638,2.49701,1.94156,0.38502,0.38237,0.33005,0.13766,1.83857,2.41259,2.11859,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,19061.3,1.77623,2.48786,1.93196,0.36219,0.38288,0.32034,0.13644,1.83756,2.38925,2.12197,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,20099.1,1.76842,2.48294,1.92434,0.38319,0.38698,0.32795,0.13884,1.82731,2.39327,2.11371,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,21138.7,1.78758,2.4617,1.94076,0.37393,0.39211,0.32307,0.13844,1.81837,2.41791,2.1041,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
